ID,What is your age range?,What is your gender?,What is your education level?,What is your employment status?,What is your occupation? (optional),How often do you use technological devices?,How much knowledge do you have about artificial intelligence (AI) technologies?,Do you generally trust artificial intelligence (AI)?,Do you think artificial intelligence (AI) will be generally beneficial or harmful to humanity?,Please rate how actively you use AI-powered products in your daily life on a scale from 1 to 5.,Would you like to use more AI products in the future?,I think artificial intelligence (AI) could threaten individual freedoms.,Could artificial intelligence (AI) completely eliminate some professions?,Do you think your own job could be affected by artificial intelligence (AI)?,Do you believe that artificial intelligence (AI) should be limited by ethical rules?,Could artificial intelligence (AI) one day become conscious like humans?,Which of the following do you think is NOT an artificial intelligence (AI) application?,Which of the following is a machine learning algorithm used in the field of artificial intelligence?,The artificial intelligence application called 'ChatGPT' is an example of which type of AI system?,device_hours_score,knowledge_score,trust_score,beneficial_score,ai_usage_score,future_intent_score,threat_freedoms_score,job_elimination_score,personal_job_threat_score,ethical_constraints_score,consciousness_score,q1_correct,q2_correct,q3_correct,device_hours_normalized,tech_comfort_level,ai_literacy_score,trust_index,anxiety_index,trust_anxiety_gap,trust_anxiety_balance,attitude_category,indifference_rate,knowledge_confidence_gap,literacy_perception_gap,self_awareness_category,response_consistency_score
33,18-24,Male,Associate degree,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,2,I'm undecided,Agree,Definitely Removes,Think,Strongly Agree,Definitely Becomes,Netflix recommendations,I do not know,Natural language processing,3.5,5.0,5.0,5.0,4.0,5.0,7.5,10.0,7.5,10.0,10.0,0,0,1,2.916666666666667,3.458333333333333,3.333333333333333,5.0,8.75,-3.75,3.125,Moderate,7.6923076923076925,0.0,1.666666666666667,Realistic,10.0
34,Under 18 years old,Male,High school,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,3,"Definitely, I would like to",Strongly disagree,Can't handle it,Definitely I don't think so,Strongly disagree,Definitely Becomes,WhatsApp,I do not know,Web browser,3.5,5.0,7.5,5.0,6.0,10.0,0.0,2.5,0.0,0.0,10.0,1,0,0,2.916666666666667,4.458333333333334,3.333333333333333,7.5,3.125,4.375,7.1875,Optimist,7.6923076923076925,2.5,1.666666666666667,Realistic,10.0
35,18-24,Male,Associate degree,Student,Student,Between 5 to 10 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,2,I'm undecided,I disagree,Absolutely Can't handle it,Definitely I don't think so,Strongly Agree,It certainly can't be,WhatsApp,Linear regression,Natural language processing,7.5,5.0,2.5,5.0,4.0,5.0,2.5,0.0,0.0,10.0,0.0,1,1,1,6.25,5.125,10.0,4.166666666666667,0.625,3.541666666666667,6.770833333333334,Moderate,0.0,-2.5,-5.0,Underconfident,10.0
36,18-24,Male,Bachelor's degree,Student,Student,Between 5 to 10 hours per day,I have a good level of knowledge,I'm undecided,Both beneficial and harmful,3,I'm undecided,I'm undecided,Removes,I don't think so,Agree,Can't,WhatsApp,HTML,Web browser,7.5,7.5,5.0,5.0,6.0,5.0,5.0,7.5,2.5,7.5,2.5,1,0,0,6.25,6.125,3.333333333333333,5.0,4.375,0.625,5.3125,Moderate,0.0,-2.5,4.166666666666667,Overconfident,10.0
37,18-24,Male,Associate degree,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I'm undecided,Agree,Definitely Removes,I don't think so,Agree,I'm undecided,WhatsApp,I do not know,Web browser,3.5,5.0,5.0,5.0,6.0,5.0,7.5,10.0,2.5,7.5,5.0,1,0,0,2.916666666666667,4.458333333333334,3.333333333333333,5.0,6.25,-1.25,4.375,Moderate,7.6923076923076925,0.0,1.666666666666667,Realistic,10.0
38,35-44,Female,Associate degree,Unemployed,Child development,Between 5 to 10 hours per day,I've heard a little about it,I don't trust it,Both beneficial and harmful,1,I'm undecided,I'm undecided,Removes,I don't think so,Agree,Becomes,WhatsApp,I do not know,Oyun geliþtirme,7.5,2.5,2.5,5.0,2.0,5.0,5.0,7.5,2.5,7.5,7.5,1,0,0,6.25,4.125,3.333333333333333,4.166666666666667,5.625,-1.458333333333333,4.270833333333334,Moderate,7.6923076923076925,0.0,-0.833333333333333,Realistic,10.0
39,35-44,Male,Primary education,Employed,Textile,Between 2 to 5 hours per day,I've heard a little about it,I don't trust it,Definitely harmful,2,I would like to,Strongly disagree,Definitely Removes,I don't think so,Strongly Agree,I'm undecided,I do not know,I do not know,I do not know,3.5,2.5,2.5,0.0,4.0,7.5,0.0,10.0,2.5,10.0,5.0,0,0,0,2.916666666666667,3.458333333333333,0.0,3.333333333333333,4.375,-1.0416666666666663,4.479166666666667,Moderate,23.07692307692308,0.0,2.5,Overconfident,8.5
40,45 years and older,Female,Primary education,Unemployed,Housewife,Between 2 to 5 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,5,I would not like to,I disagree,Definitely Removes,Think,Strongly Agree,I'm undecided,Netflix recommendations,I do not know,Image processing,3.5,2.5,5.0,5.0,10.0,2.5,2.5,10.0,7.5,10.0,5.0,0,0,0,2.916666666666667,6.458333333333334,0.0,4.166666666666667,6.25,-2.083333333333333,3.9583333333333335,Moderate,7.6923076923076925,2.5,2.5,Overconfident,10.0
41,35-44,Female,Associate degree,Unemployed,Accounting,Between 2 to 5 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,1,I'm undecided,Agree,Removes,I'm undecided,Agree,Can't,WhatsApp,Game algorithm,Image processing,3.5,5.0,2.5,5.0,2.0,5.0,7.5,7.5,5.0,7.5,2.5,1,0,0,2.916666666666667,2.458333333333333,3.333333333333333,4.166666666666667,5.625,-1.458333333333333,4.270833333333334,Moderate,0.0,-2.5,1.666666666666667,Realistic,10.0
42,35-44,Male,High school,Employed,Office Driver,Between 0 to 2 hours per day,I've heard a little about it,I don't trust it at all,Definitely harmful,1,I'm undecided,I'm undecided,Definitely Removes,I don't think so,I'm undecided,It certainly can't be,WhatsApp,Game algorithm,Image processing,1.0,2.5,0.0,0.0,2.0,5.0,5.0,10.0,2.5,5.0,0.0,1,0,0,0.8333333333333333,1.4166666666666663,3.333333333333333,1.6666666666666667,4.375,-2.708333333333333,3.6458333333333335,Moderate,0.0,-2.5,-0.833333333333333,Realistic,10.0
43,18-24,Male,Bachelor's degree,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,3,I'm undecided,Agree,Definitely Removes,I definitely think,Agree,Becomes,WhatsApp,HTML,Natural language processing,3.5,5.0,7.5,5.0,6.0,5.0,7.5,10.0,10.0,7.5,7.5,1,0,1,2.916666666666667,4.458333333333334,6.666666666666666,5.833333333333333,8.75,-2.916666666666667,3.5416666666666665,Moderate,0.0,2.5,-1.666666666666666,Realistic,8.5
44,35-44,Female,Bachelor's degree,Unemployed,Teacher,Between 0 to 2 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,1,I would not like to,Agree,Removes,I definitely think,Strongly Agree,I'm undecided,WhatsApp,I do not know,Natural language processing,1.0,5.0,5.0,5.0,2.0,2.5,7.5,7.5,10.0,10.0,5.0,1,0,1,0.8333333333333333,1.4166666666666663,6.666666666666666,4.166666666666667,7.5,-3.333333333333333,3.333333333333333,Moderate,7.6923076923076925,0.0,-1.666666666666666,Realistic,10.0
45,18-24,Male,Bachelor's degree,Student,Student,More than 10 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,5,I'm undecided,Strongly Agree,Definitely Removes,I definitely think,Strongly Agree,Becomes,WhatsApp,Linear regression,Natural language processing,10.0,5.0,2.5,5.0,10.0,5.0,10.0,10.0,10.0,10.0,7.5,1,1,1,10.0,10.0,10.0,4.166666666666667,9.375,-5.208333333333333,2.395833333333333,Moderate,0.0,-2.5,-5.0,Underconfident,10.0
46,25-34,Male,Associate degree,Employed,Merchandising,Between 5 to 10 hours per day,I have basic knowledge,I trust it,More beneficial than harmful,2,I would like to,I disagree,Definitely Removes,Think,I'm undecided,Can't,WhatsApp,Linear regression,Web browser,7.5,5.0,7.5,7.5,4.0,7.5,2.5,10.0,7.5,5.0,2.5,1,1,0,6.25,5.125,6.666666666666666,7.5,5.625,1.875,5.9375,Moderate,0.0,2.5,-1.666666666666666,Realistic,10.0
47,18-24,Female,Bachelor's degree,Student,Student,Between 5 to 10 hours per day,I have basic knowledge,I trust it,More beneficial than harmful,4,I would like to,I disagree,Removes,I don't think so,Agree,I'm undecided,WhatsApp,Linear regression,Natural language processing,7.5,5.0,7.5,7.5,8.0,7.5,2.5,7.5,2.5,7.5,5.0,1,1,1,6.25,7.125,10.0,7.5,4.375,3.125,6.5625,Moderate,0.0,2.5,-5.0,Underconfident,10.0
48,18-24,Male,Bachelor's degree,Student,Student,Between 2 to 5 hours per day,I've heard a little about it,I don't trust it at all,Definitely harmful,3,I'm undecided,Agree,I have no idea,I'm undecided,Agree,Definitely Becomes,WhatsApp,Game algorithm,I do not know,3.5,2.5,0.0,0.0,6.0,5.0,7.5,5.0,5.0,7.5,10.0,1,0,0,2.916666666666667,4.458333333333334,3.333333333333333,1.6666666666666667,6.875,-5.208333333333333,2.395833333333333,Resister,15.384615384615383,-2.5,-0.833333333333333,Realistic,10.0
49,35-44,Female,Bachelor's degree,Employed,Not specified,More than 10 hours per day,I have a good level of knowledge,I trust it,More beneficial than harmful,4,I would like to,I disagree,Removes,Think,Strongly Agree,Becomes,WhatsApp,Linear regression,Natural language processing,10.0,7.5,7.5,7.5,8.0,7.5,2.5,7.5,7.5,10.0,7.5,1,1,1,10.0,9.0,10.0,7.5,6.25,1.25,5.625,Cautious,0.0,0.0,-2.5,Underconfident,10.0
50,18-24,Male,Bachelor's degree,Employed,Real estate agent,Between 2 to 5 hours per day,I have a good level of knowledge,I'm undecided,More harmful than beneficial,4,I would like to,Strongly Agree,Definitely Removes,I don't think so,Agree,Becomes,I do not know,HTML,Natural language processing,3.5,7.5,5.0,2.5,8.0,7.5,10.0,10.0,2.5,7.5,7.5,0,0,1,2.916666666666667,5.458333333333334,3.333333333333333,5.0,7.5,-2.5,3.75,Moderate,7.6923076923076925,-2.5,4.166666666666667,Overconfident,8.5
51,18-24,Female,Associate degree,Student,Student,More than 10 hours per day,I have no knowledge,I don't trust it at all,More harmful than beneficial,1,I'm undecided,I disagree,I have no idea,I'm undecided,I'm undecided,Becomes,WhatsApp,I do not know,Image processing,10.0,0.0,0.0,2.5,2.0,5.0,2.5,5.0,5.0,5.0,7.5,1,0,0,10.0,6.0,3.333333333333333,2.5,5.0,-2.5,3.75,Moderate,23.07692307692308,0.0,-3.333333333333333,Underconfident,10.0
